,oficial_mensual,promedio_diaria,cierre_diaria,dif_vs_promedio,dif_vs_cierre
2009-01-01,623.007619,623.0076190476191,612.43,4.7619096221751533e-08,10.577619000000027
2009-02-01,605.998,605.998,595.76,0.0,10.238000000000056
2009-03-01,592.9313636,592.9313636363636,582.1,3.636353085312294e-08,10.831363600000032
2009-04-01,583.1757143,583.1757142857143,588.62,1.4285660654422827e-08,5.444285700000023
2009-05-01,565.7178947,565.717894736842,564.64,3.684203875309322e-08,1.0778947000000016
2009-06-01,553.08,553.08,529.07,0.0,24.00999999999999
2009-07-01,540.4204545,540.4204545454545,541.9,4.5454498831531964e-08,1.479545499999972
2009-08-01,546.8842857,546.8842857142857,550.64,1.4285774341260549e-08,3.7557143000000224
2009-09-01,549.0709524,549.0709523809523,546.07,1.9047661226068158e-08,3.00095239999996
2009-10-01,545.8328571,545.8328571428572,531.74,4.2857209336943924e-08,14.092857099999947
2009-11-01,507.7814286,507.7814285714286,495.84,2.8571434995683376e-08,11.941428600000052
2009-12-01,501.45,501.45,506.43,0.0,4.980000000000018
2010-01-01,500.6625,500.6625,531.75,0.0,31.087499999999977
2010-02-01,532.557,532.557,529.69,0.0,2.866999999999962
2010-03-01,523.1626087,523.1626086956521,526.29,4.3478394218254834e-09,3.1273912999999993
2010-04-01,520.6242857,520.6242857142857,520.99,1.4285774341260549e-08,0.365714300000036
2010-05-01,533.2065,533.2065,529.23,0.0,3.9764999999999873
2010-06-01,536.6680952,536.6680952380952,543.09,3.8095208765298594e-08,6.421904799999993
2010-07-01,531.7214286,531.7214285714285,522.36,2.8571434995683376e-08,9.361428599999954
2010-08-01,509.3240909,509.3240909090909,499.26,9.090911134990165e-09,10.064090899999997
2010-09-01,493.933,493.933,485.23,0.0,8.702999999999975
2010-10-01,484.0415,484.0415,491.76,0.0,7.718500000000006
2010-11-01,482.3166667,482.31666666666666,486.39,3.3333321880490985e-08,4.073333300000002
2010-12-01,474.7780952,474.77809523809526,468.37,3.8095265608717455e-08,6.408095199999991
2011-01-01,489.4409524,489.4409523809524,483.32,1.9047604382649297e-08,6.1209524000000215
2011-02-01,475.691,475.691,475.63,0.0,0.06099999999997863
2011-03-01,479.6521739,479.6521739130435,482.08,1.304351826547645e-08,2.4278261000000043
2011-04-01,471.32,471.32,460.04,0.0,11.279999999999973
2011-05-01,467.7286364,467.7286363636364,467.31,3.636364453996066e-08,0.41863640000002533
2011-06-01,469.4119048,469.41190476190474,471.13,3.8095265608717455e-08,1.7180951999999934
2011-07-01,462.9371429,462.9371428571429,455.91,4.2857152493525064e-08,7.027142900000001
2011-08-01,466.7904545,466.7904545454545,465.66,4.5454498831531964e-08,1.1304544999999848
2011-09-01,483.6938095,483.69380952380953,515.14,2.3809548110875767e-08,31.4461905
2011-10-01,511.7442105,511.7442105263158,492.04,2.6315774448448792e-08,19.704210499999988
2011-11-01,508.437619,508.4376190476191,524.25,4.7619096221751533e-08,15.812381000000016
2011-12-01,517.1719048,517.1719047619048,521.46,3.8095208765298594e-08,4.288095200000043
2012-01-01,501.3395455,501.33954545454543,488.99,4.5454555674950825e-08,12.349545499999977
2012-02-01,481.4885714,481.48857142857145,477.41,2.8571434995683376e-08,4.078571399999987
